origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,forecaster_id
2,2006,125.256832437009,126.921764583836,1.74481511545754,1.73022671936192,67
4,2006,125.600029913234,127.002964333997,1.68114122566372,1.66977210765586,67
1,2007,129.676252713475,131.424647429039,1.6923793455837,1.67977806141001,67
2,2007,130.937920480852,132.567585324904,1.6843682598636,1.67115985451156,67
4,2007,133.520058633409,135.018890879257,1.68544329668209,1.67707130722999,67
1,2008,136.843675943291,138.589344365004,1.67673429378931,1.66515767333835,67
2,2008,138.731523742875,140.393412729636,1.68517681233239,1.67352268988718,67
4,2008,142.275763590615,143.619801197065,1.70985256896506,1.69775411831059,67
1,2009,145.367727516054,147.698704007647,1.69554666378218,1.69816727621151,67
1,2010,169.166001014161,171.138585587504,2.10509978699991,2.0920925716178,67
2,2010,171.573579553226,173.460175325295,2.122822635864,2.10950720333281,67
4,2010,173.508734429722,175.051747290296,2.09358219312709,2.08019823632528,67
1,2011,176.774980308026,178.719627722247,2.07710563084018,2.06453848646947,67
2,2011,177.749018555699,179.583511245064,2.05640207298903,2.04362756665905,67
1,2012,185.329942231723,187.455038391475,2.07597376970869,2.06852238374819,67
2,2012,187.18140857824,189.147630213671,2.0781404122043,2.06882690436174,67
4,2012,189.211790531099,191.371266187775,2.05552769510362,2.05872092676133,67
1,2013,192.52459830315,194.537734758727,2.04238587412054,2.03315531351052,67
2,2013,194.40370889597,196.2360529195,2.04545229420026,2.03397149172524,67
4,2013,198.759226255843,200.307302259982,2.07851026984333,2.06726958423216,67
1,2014,201.174032077914,203.081315355337,2.04504732339326,2.03381398157213,67
2,2014,201.100957500484,201.100957500484,2.04574329222144,2.04574329222144,67
3,2014,202.935137838404,202.935137838404,2.03899860039999,2.03899860039999,67
4,2014,204.694916456561,206.200332782823,2.01975740195745,2.00900015031995,67
1,2015,209.396825637329,209.396825637329,2.03821348162259,2.03821348162259,67
2,2015,210.71701194221,210.71701194221,2.06932247225628,2.06932247225628,67
3,2015,213.185917846495,214.865258029017,2.0486227542389,2.03804076477118,67
4,2015,213.054506999951,213.054506999951,2.02761182594638,2.02761182594638,67
1,2016,216.157904175104,216.157904175104,2.00187506780468,2.00187506780468,67
2,2016,218.027841835639,218.027841835639,2.00473629147234,2.00473629147234,67
3,2016,218.530009348923,220.183961172209,1.98409816985058,1.97438343467891,67
4,2016,220.81695816354,222.335818332667,2.00276606775981,1.99335991188218,67
1,2017,223.979022771539,223.979022771539,1.98952972799906,1.98952972799906,67
2,2017,225.652883936803,227.460067465066,1.9885932695648,1.97920220486354,67
4,2017,227.405437969256,228.929519692,1.96749894607069,1.95902922273342,67
1,2018,230.142520794193,232.000143979818,1.94748980340331,1.93837401547134,67
2,2018,231.305861063195,233.086652594781,1.93772854926049,1.92890723873372,67
3,2018,232.256294300116,233.875060426803,1.92784022298359,1.91897924110723,67
4,2018,234.408190439424,235.96671894072,1.94274494632142,1.93551146138457,67
1,2019,237.691292735433,239.628541356027,1.93349804769731,1.9262793080434,67
2,2019,238.825505210247,240.60240631339,1.92377544247905,1.91538677437722,67
4,2019,245.977700700742,247.594309169761,1.99920960631405,1.99254319305468,67
1,2020,253.746503150804,255.664691908592,2.06936960600307,2.06035332624051,67
1,2001,89.1474570428065,91.0311949086818,1.98984284409309,1.9646248228704,68
3,2001,93.1993946297159,94.9881287098665,2.03003564261125,2.01111650250023,68
4,2001,96.035964227475,97.6624583383482,2.10427309870071,2.08324031451979,68
1,2002,99.5794442054764,101.543831160785,2.08708883243616,2.06466501714567,68
2,2002,102.076779640554,103.940488093731,2.12267953856248,2.09864550526535,68
4,2002,103.96882645235,105.498675794148,2.07092792302576,2.04842596099076,68
1,2003,106.764185935398,108.710907191455,2.02302562411213,2.00370707839641,68
2,2003,107.333971231124,109.17895543791,1.97331779352997,1.95503532987917,68
4,2003,110.848819739496,112.378341447326,1.99999021364844,1.98136057804771,68
1,2004,116.054775914195,117.964106561805,2.05550856189651,2.03528373316415,68
2,2004,117.533041396635,119.362236426409,2.04438601641693,2.02490219858114,68
4,2004,119.723119127124,121.398036590674,2.01613241142399,2.00380641351889,68
1,2005,124.338243682005,126.245612086701,2.04509088851547,2.02654019128095,68
2,2005,124.445145047885,126.240497343629,1.98490208138209,1.96717875850549,68
4,2005,123.141573381018,124.557495440999,1.84480743925146,1.82894443428748,68
1,2006,123.279721415253,125.039763285028,1.73324156681184,1.71910875246042,68
2,2006,125.256832437009,126.934673026728,1.74481511545754,1.73059877419738,68
4,2006,125.408679028002,127.208741527843,1.67588072245809,1.67530390225561,68
1,2007,129.664416598564,131.381183635598,1.69205630578302,1.67861970004196,68
2,2007,131.15266391676,132.836135239197,1.69011908966044,1.67818512878439,68
4,2007,133.05010144774,134.366455596761,1.67331204392206,1.66061052336186,68
2,2008,138.706376317125,138.706376317125,1.68454787653289,1.68454787653289,68
4,2008,142.883569557486,144.342886489323,1.72496806070934,1.71535470616226,68
1,2009,145.299442512563,147.346786957518,1.69389351234493,1.68977562898126,68
4,2009,165.532708915517,167.371193169992,2.11246664863279,2.10635997667577,68
1,2010,169.180297401233,171.184077416314,2.10550726637274,2.09336093473212,68
2,2010,171.503438407605,173.374634755127,2.12083835162324,2.10713332583618,68
4,2010,174.44630116543,176.410828103571,2.11921662127831,2.11670637146767,68
1,2011,176.761022258283,178.686746036034,2.07673396764236,2.06367942473496,68
2,2011,177.786254362547,179.630146009264,2.0573715119942,2.04481906567876,68
4,2011,181.603238058624,183.148516619791,2.07976146571351,2.06733557025391,68
1,2012,185.275249429953,187.477283848858,2.07458962982661,2.06907681826973,68
2,2012,187.200506282188,189.14498984956,2.07861860019592,2.06876193103172,68
4,2012,189.13778804244,191.036729755142,2.05373999595642,2.05074139446156,68
1,2013,192.52992164391,194.537699269313,2.04251229135956,2.03315450876627,68
2,2013,194.634945865181,196.464100377442,2.05089585453051,2.03924896619171,68
3,2013,197.091362568441,198.852238817007,2.07190050238712,2.06186577030354,68
4,2013,198.998238395541,200.941188345736,2.08409630457013,2.08185778823286,68
1,2014,201.187084951258,203.095296994747,2.0453439341529,2.03412648010009,68
2,2014,202.456195977946,204.282498685373,2.03456345294265,2.02362334927673,68
3,2014,203.767603285808,205.43958488271,2.02925537822492,2.01837011418538,68
4,2014,204.694916456561,206.202855659232,2.01975740195745,2.00905442124697,68
1,2015,209.396825637329,211.301339511926,2.03821348162259,2.02750015957865,68
2,2015,212.10058083716,213.93563117249,2.05885428737844,2.04817709047228,68
4,2015,213.056755305678,214.583492107276,2.01714031036053,2.00729694674663,68
1,2016,216.178696002688,218.065880609545,2.00229981650516,1.99220839551127,68
2,2016,218.027841835639,219.835288508961,2.00473629147234,1.99473523674622,68
3,2016,218.573275151449,220.290791382964,1.98495667114004,1.97647194855979,68
4,2016,220.763437296757,222.261795428696,2.00170573879065,1.99191616503694,68
1,2017,223.975644931522,225.854211841411,1.98946384747026,1.97978353304007,68
2,2017,224.309727316102,224.309727316102,1.9980208764046,1.9980208764046,68
4,2017,227.405437969256,228.914053377896,1.96749894607069,1.95874419901884,68
1,2018,230.142520794193,231.999949187802,1.94748980340331,1.93837049935063,68
2,2018,231.294067831804,233.065255458895,1.93751499822112,1.92852517787687,68
3,2018,232.256294300116,233.876400335284,1.92784022298359,1.91900279097004,68
4,2018,234.289312290312,235.776820007054,1.94062872265191,1.93217864479671,68
1,2019,237.668316032632,239.555567000635,1.93309423370099,1.92501344109081,68
2,2019,238.807986003177,240.57423269537,1.92347185024898,1.91490508702665,68
3,2019,240.673562709338,242.299616170838,1.92983647989926,1.92138583031125,68
1,2020,253.749177297789,255.668440063626,2.06941814921375,2.06042047349335,68
2,2020,262.294733269918,280.695116683098,2.19516112667499,2.51983219685758,68
3,2020,276.899604151172,312.388608671952,2.4550036433855,3.25838839451884,68
4,2020,379.714121776915,385.996216122153,5.83327489906495,5.99423096380107,68
1,2021,454.76074676732,460.07389598653,10.5698168110727,10.6825092814531,68
2,2021,465.23837709795,468.819343382037,11.2182491312891,11.1763817586247,68
4,2021,472.945004940962,476.852800040696,11.3463777131776,11.3626098230593,68
1,2022,476.566689937759,480.175895810622,11.1663547715994,11.1213450036452,68
2,2022,480.11030463951,483.634550504238,11.1750962732697,11.1299924661166,68
3,2022,484.515036586412,487.912132496098,11.2791862020871,11.2350238465072,68
4,2022,485.382917367225,488.59925671792,11.0814309985569,11.0381262222843,68
1,2023,487.643314293697,491.228505736962,10.7959321975856,10.7546062738698,68
2,2023,490.690419138891,494.177835483443,10.7648203600232,10.7227752928643,68
3,2023,491.251145710445,494.569360303857,10.5436691961427,10.5027323392708,68
4,2023,492.834292750798,495.984939981068,10.4275737390124,10.3876858031921,68
1,2024,497.019956837605,500.546291221424,10.3236016526002,10.2841794666529,68
2,2024,500.283358134523,503.727911432307,10.3152919865494,10.2762050120787,68
3,2024,498.502389953393,501.761430908391,9.93517643605586,9.89778010459831,68
4,2024,500.185512685669,503.277453945257,9.84084191361224,9.80426186081133,68
1,2001,89.1474570428065,91.0237639809867,1.98984284409309,1.96425056771546,70
2,2001,90.4522071989384,92.2789344606512,1.96864168293943,1.94600155671238,70
3,2001,93.2361411672539,94.9899307311367,2.03190115361597,2.01120487583515,70
2,2002,102.011548022166,103.883463377906,2.11946196978727,2.09592729950923,70
4,2002,103.905213591964,105.467714753838,2.06800425960608,2.04704563853032,70
1,2003,106.762181970509,108.708506379924,2.02293749642461,2.00360467416164,70
4,2003,110.692267418257,112.274328567347,1.99361458925592,1.97724512089818,70
1,2004,116.029933930427,117.944129999589,2.05448758657639,2.03448668757106,70
2,2004,117.461310759571,119.282505923057,2.04151279184838,2.02180013240966,70
3,2004,118.960547120061,120.647553043864,2.03931895962663,2.02054659112371,70
1,2005,124.326725290423,126.230996203305,2.04465471884536,2.02600172968118,70
2,2005,124.445145047885,126.276314251171,1.98490208138209,1.96843696491,70
3,2005,120.233944023616,121.7907383367,1.79158591302393,1.77622440551868,70
4,2005,123.141573381018,124.555785750568,1.84480743925146,1.82888927184049,70
1,2006,123.311886201768,125.075412216807,1.73420298957525,1.72014771760192,70
2,2006,125.332334944992,127.105000327208,1.74704926230619,1.73551763699571,70
3,2006,125.602097515398,127.240008336395,1.71446539287504,1.70421512741919,70
4,2006,125.459079998548,126.996090034615,1.67726711304499,1.66958349474942,70
1,2007,129.676252713475,131.398915270477,1.6923793455837,1.67909217680227,70
2,2007,131.048472564082,132.712131508221,1.68732640319878,1.67493972618409,70
1,2008,136.949513481809,138.68805814018,1.67942491991837,1.6676126897372,70
3,2008,143.571949410876,145.778254286888,1.77358423115245,1.77790992374698,70
4,2008,142.099956307901,143.445308465317,1.705505307781,1.69353869162182,70
1,2009,145.573851929608,148.462764260437,1.70054664012384,1.71654266045896,70
2,2009,150.936431116853,153.618285059124,1.79396937540238,1.80610313129866,70
3,2009,160.345172228235,162.037539951187,2.00429480207734,1.99149587017144,70
4,2009,165.660990167507,167.233437235513,2.11617999444061,2.10245424695438,70
1,2010,169.181041226318,171.1160292741,2.105527278054,2.09146351017193,70
2,2010,171.63969248886,173.53977804618,2.12469288916549,2.11171702218825,70
