origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cy_gamma,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd,cyandny_gamma
1,2001,170.91407899449,172.750230090677,1.98541393926822,0.71923262635971,1.9607374490886,1.86149405273315,1.8637294703159,0.721093240311205
2,2001,173.934435536605,175.692260924236,1.96150387775196,0.715483015487786,1.93578693962726,1.8509754128819,1.85315812062256,0.720275509743713
3,2001,178.794559449313,180.670622217222,2.02811624157232,0.707286376443379,2.01438726623922,1.85331681210166,1.8549807720489,0.709013192027996
4,2001,183.9231705543,185.972533429912,2.10438582868253,0.702661224074802,2.09411859715462,1.86548681104507,1.87365868264222,0.70157596356089
1,2002,189.402555798632,191.290894060473,2.08519322132367,0.699768690727495,2.06231614453253,1.85490849730566,1.85601165608729,0.700810174772422
2,2002,192.977849615654,194.805681695377,2.11607191177451,0.711780237736438,2.09619267076952,1.82234250789216,1.82170898271786,0.711114690029865
3,2002,194.944932526439,196.725572219563,2.09037863295553,0.717725561150307,2.07826369582137,1.77679637408254,1.77181617581472,0.716745865098448
4,2002,197.596112364854,199.089365066433,2.06293084367942,0.725367886997512,2.04140493916828,1.7793498956567,1.77400378851579,0.725603755754576
1,2003,201.678296101728,203.6211530265,1.99312218607603,0.732927853633901,1.97147880336478,1.76289050771184,1.76400088282157,0.737449094777172
2,2003,204.549913387566,206.518380073864,1.96510097393412,0.739229666418286,1.95363962484571,1.75637245552781,1.76312916922316,0.738174516328633
3,2003,210.167604337495,211.910785654507,1.98547615956156,0.733481183987029,1.97109471969347,1.81963124450074,1.82288273352082,0.731872475499713
4,2003,216.598402687439,218.082637901236,2.03872656157705,0.71994012843318,2.01878453187842,1.88480597831697,1.88484757232131,0.721774988883119
1,2004,223.314177556858,225.366587534157,2.07172665414089,0.737582863908103,2.05110622463743,1.88131023396989,1.89155722170777,0.737856533685096
2,2004,227.959533734224,229.877926982106,2.04398592110924,0.750172935908718,2.02107529623816,1.93773497875701,1.94356136015912,0.752441065730927
3,2004,231.114616996244,232.835322646494,2.03735137751745,0.764958960015477,2.02330683667429,1.92728309942294,1.92959412745678,0.765231624197842
4,2004,234.482512922836,235.971797782985,2.03373510219132,0.7758363167465,2.01369103405133,1.93163670757862,1.93192527108629,0.775580439523168
1,2005,240.279762608107,242.225607510063,2.01599007333768,0.784681245653269,1.99722959011005,1.9394706896362,1.94192240305662,0.786126690662848
2,2005,243.392557981026,245.165075918498,1.98326120563628,0.792315681805196,1.96449836419302,1.94374393821582,1.94432579861027,0.79330445987459
