origin_year,origin_month,target_quarter,target_year,rgdp_growth,rgdp_growth_ann
2001,1,2,1991,1.22035149289275,
2001,1,3,1991,0.242686548220705,
2001,1,4,1991,3.9019132783761,
2001,1,1,1992,5.67949033371342,
2001,1,2,1992,-2.15845385305231,
2001,1,3,1992,-1.28747712943088,
2001,1,4,1992,-0.889854327095996,
2001,1,1,1993,-2.76785324946042,
2001,1,2,1993,0.30894852636647,
2001,1,3,1993,1.22447410419595,
2001,1,4,1993,1.4903550775744,-0.861918066094114
2001,1,1,1994,4.05992642595303,
2001,1,2,1994,2.07549720979923,
2001,1,3,1994,2.73678377932585,
2001,1,4,1994,3.37393012264526,2.40465436766857
2001,1,1,1995,2.43561441206268,
2001,1,2,1995,2.10065976966085,
2001,1,3,1995,0.40745099421633,
2001,1,4,1995,0.923318769291126,2.20941193682196
2001,1,1,1996,0.975795507589483,
2001,1,2,1996,2.58868091543496,
2001,1,3,1996,2.27653823417493,
2001,1,4,1996,0.847520542300018,1.42018457782167
2001,1,1,1997,0.707462962374184,
2001,1,2,1997,4.9673476350411,
2001,1,3,1997,2.90482768543348,
2001,1,4,1997,3.39029458423401,2.28011947138138
2001,1,1,1998,3.44358337696575,
2001,1,2,1998,1.3529405317863,
2001,1,3,1998,2.1617340502966,
2001,1,4,1998,1.08394753321359,2.75222517396627
2001,1,1,1999,3.07501228384053,
2001,1,2,1999,2.31828188277918,
2001,1,3,1999,3.89934161643468,
2001,1,4,1999,3.92760695631864,2.49338410153377
2001,1,1,2000,3.71508896273649,
2001,1,2,2000,3.33240467802769,
2001,1,3,2000,2.73217648097268,
2001,1,4,2000,,
2001,1,1,2001,,
2001,1,2,2001,,
2001,1,3,2001,,
2001,1,4,2001,,
2001,2,2,1991,1.12384132543095,
2001,2,3,1991,0.134704883392822,
2001,2,4,1991,3.38051563436741,
2001,2,1,1992,6.45892265514567,
2001,2,2,1992,-2.39835653912331,
2001,2,3,1992,-1.4058829426451,
2001,2,4,1992,-1.03930645228429,
2001,2,1,1993,-2.48722497551369,
2001,2,2,1993,0.261585554797206,
2001,2,3,1993,1.07745753590149,
2001,2,4,1993,1.71488962413158,-0.861917685005098
2001,2,1,1994,4.03510399010705,
2001,2,2,1994,1.96530724927766,
2001,2,3,1994,2.64558865235922,
2001,2,4,1994,3.65476389547685,2.40465417379643
2001,2,1,1995,2.53235273036725,
2001,2,2,1995,1.82873469737295,
2001,2,3,1995,0.314341194141732,
2001,2,4,1995,1.00606940099812,2.20941231964413
2001,2,1,1996,1.04061681177248,
2001,2,2,1996,2.59022703151404,
2001,2,3,1996,2.35233068526104,
2001,2,4,1996,0.642050914407721,1.42018476041832
2001,2,1,1997,0.626060319585409,
2001,2,2,1997,5.16869805980198,
2001,2,3,1997,3.07695105613279,
2001,2,4,1997,3.25790249169673,2.28011891515236
2001,2,1,1998,3.10510116834875,
2001,2,2,1998,1.74210094258378,
2001,2,3,1998,2.22492370023901,
2001,2,4,1998,0.937577295332837,2.74945693114894
2001,2,1,1999,2.95530720786368,
2001,2,2,1999,2.38759912588513,
2001,2,3,1999,4.07044578157292,
2001,2,4,1999,3.83010038943159,2.49633435771097
2001,2,1,2000,3.63961695105834,
2001,2,2,2000,3.56902267910186,
2001,2,3,2000,2.64981588182456,
2001,2,4,2000,,
2001,2,1,2001,,
2001,2,2,2001,,
2001,2,3,2001,,
2001,2,4,2001,,
2001,3,2,1991,1.1450144592428,
2001,3,3,1991,0.144476387390524,
2001,3,4,1991,3.35460368274103,
2001,3,1,1992,6.46223013878078,
2001,3,2,1992,-2.39511450987036,
2001,3,3,1992,-1.39624048576191,
2001,3,4,1992,-1.04570304255245,
2001,3,1,1993,-2.47364717688081,
2001,3,2,1993,0.247452526997649,
2001,3,3,1993,1.07831265507614,
2001,3,4,1993,1.69484280297774,-0.861991479807911
2001,3,1,1994,4.04820288338041,
2001,3,2,1994,1.96600624989458,
2001,3,3,1994,2.67686654786623,
2001,3,4,1994,3.61151150126071,2.40466402104598
2001,3,1,1995,2.4718840660575,
2001,3,2,1995,1.87564324462359,
2001,3,3,1995,0.183191846613706,
2001,3,4,1995,1.20251243351166,2.19482528394166
2001,3,1,1996,0.948039432270642,
2001,3,2,1996,2.57913091639148,
2001,3,3,1996,2.46706477164138,
2001,3,4,1996,0.44913323226432,1.42018457782169
2001,3,1,1997,0.7383131966892,
2001,3,2,1997,5.11811808396407,
2001,3,3,1997,3.04867262818087,
2001,3,4,1997,3.37697620804052,2.28011965401485
2001,3,1,1998,2.98718309270585,
2001,3,2,1998,1.83437229422911,
2001,3,3,1998,2.1915584913315,
2001,3,4,1998,0.94587369165493,2.74945656420587
2001,3,1,1999,2.89837688208081,
2001,3,2,1999,2.42167057545639,
2001,3,3,1999,4.14408635224228,
2001,3,4,1999,3.757040057663,2.49633435771095
2001,3,1,2000,3.62161851635121,
2001,3,2,2000,3.47702661674512,
2001,3,3,2000,2.53258756694363,
2001,3,4,2000,,
2001,3,1,2001,,
2001,3,2,2001,,
2001,3,3,2001,,
2001,3,4,2001,,
2001,4,2,1991,1.03380705413862,
2001,4,3,1991,0.221951484942906,
2001,4,4,1991,3.86633767332045,
2001,4,1,1992,5.86906539211933,
2001,4,2,1992,-2.35096919690088,
2001,4,3,1992,-1.08865822184565,
2001,4,4,1992,-1.08937515191143,
2001,4,1,1993,-2.74514395996807,
2001,4,2,1993,0.155283009133944,
2001,4,3,1993,1.5729998786215,
2001,4,4,1993,1.56781798588088,-0.861969934349549
2001,4,1,1994,3.61303084986029,
2001,4,2,1994,2.32065514073023,
2001,4,3,1994,2.95413091159094,
2001,4,4,1994,3.18283271645303,2.40466231220418
2001,4,1,1995,2.35210954829024,
2001,4,2,1995,2.0844020883876,
2001,4,3,1995,0.377715613502794,
2001,4,4,1995,1.02426197502647,2.1947946182902
2001,4,1,1996,1.14641432399198,
2001,4,2,1996,2.213971591817,
2001,4,3,1996,2.4763225923129,
2001,4,4,1996,0.690128817546776,1.42236359719079
2001,4,1,1997,1.16309018329293,
2001,4,2,1997,4.70743652207279,
2001,4,3,1997,2.76266170244552,
