origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cy_gamma,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd,cyandny_gamma
1,2001,179.47824981755,181.295171872068,2.09190851797454,0.713023064860555,2.06769254461398,1.85570352928749,1.85981459277656,0.720152668138269
2,2001,178.697274380628,182.106871523704,2.0003977042127,0.705165691447857,1.97406437022559,1.83380725876731,1.82329549721401,0.714650323693311
3,2001,184.110974272709,189.277363817023,2.13431608441276,0.698642176701348,2.10620347562133,1.84484371836291,1.82207470919377,0.71217065494156
4,2001,183.092948376499,190.312832095841,2.03229361577135,0.716020222207725,2.03834443184956,1.84785355191655,1.80402808234541,0.718019273074094
1,2002,195.29805087617,197.077911726318,2.08538641790795,0.72295738600529,2.06136954108841,1.82184235182076,1.82461825379914,0.729668733214182
2,2002,196.826903734067,200.571793749313,2.08992122904411,0.723387009243822,2.07218101412912,1.76749914796329,1.75920961567794,0.735955583752058
3,2002,198.00589625031,203.790528705196,2.08679187041524,0.713240848527366,2.08042718842628,1.76645762976525,1.76071175033434,0.731429599004135
4,2002,197.647909637613,204.818379426229,2.02178843274072,0.730453158402003,1.99023435911789,1.77906176133403,1.76963373540401,0.750472168499431
1,2003,209.023627995155,210.675627349375,1.96015666418973,0.758975763961898,1.94241821697166,1.76440857767583,1.7665287637556,0.763542594165957
2,2003,211.512170363207,215.515658940642,1.99124160456456,0.74341015573295,1.97778464660969,1.78033676392935,1.79006138493835,0.76061135955607
3,2003,214.899006770284,221.098998696288,1.99467129958881,0.730822256747058,1.97867836233618,1.85935938000638,1.87391085497587,0.76021501148681
4,2003,217.439312579537,226.77549967534,2.06043850967446,0.722871703260365,2.03389740437929,1.86516590249459,1.92330130027529,0.753270954604527
1,2004,232.346185778263,234.081526793819,2.03038521487655,0.768292643237409,2.01241476293531,1.94658204894012,1.94420282146549,0.774083353103769
2,2004,235.059274034384,238.744033864808,2.03452830058804,0.771028523937271,2.0220654529075,1.98815990376188,1.98316038372708,0.785670933697439
3,2004,234.196684099787,239.821849514395,2.00979557891142,0.779804734991488,1.99013628373631,1.94052606188015,1.93461392599133,0.804388582871226
4,2004,236.118954066392,244.483049366173,2.0647542642485,0.769847693595462,2.04770120211531,1.92664503164265,1.93982400993021,0.792090447246789
1,2005,247.511549380151,249.212671247473,1.97288385684857,0.803464715587792,1.96082685650911,1.94266761294324,1.93677704698011,0.80834105236042
2,2005,241.074796157631,244.459209077973,1.78328222866924,0.832538001513646,1.76615371123873,1.87605823154258,1.87006441341609,0.840520548084564
3,2005,246.781427028421,252.428590074354,1.84717147274776,0.786345999610256,1.82935465252563,1.9609854953587,1.95590717764321,0.80030221340982
4,2005,244.496996789346,252.685957808261,1.78115160659863,0.813710443312972,1.7867340337722,1.92432839347785,1.92630535785952,0.835585011891532
1,2006,255.014153381318,256.575028931792,1.7348332605783,0.854436470534717,1.72593321419113,1.89112271860108,1.89253494051928,0.855700291632863
2,2006,254.532712034478,257.819730325918,1.7066085545544,0.862522794139607,1.69789140197567,1.87030021516529,1.86484243112602,0.864655734869334
3,2006,254.760462977472,259.685196112985,1.694363239383,0.864514067403905,1.67803827634452,1.86312310405383,1.84150354451222,0.869517367421157
4,2006,255.021034381018,261.668292920135,1.69274505367555,0.856985235774272,1.68440483432259,1.84295331085478,1.82272650388831,0.870326769358382
1,2007,267.362305145053,268.829393352092,1.69259656093712,0.866541756814899,1.68254498897349,1.83072505243999,1.82612749203786,0.864586747888249
2,2007,265.9698136859,269.037846211733,1.67350934378011,0.861149241715236,1.66758047271726,1.78211170130297,1.77290194502122,0.864225034712204
3,2007,266.528162999917,271.287184259731,1.66837349169286,0.855746593137503,1.66202444527046,1.76465785544716,1.75186176261994,0.862854318408393
4,2007,267.891787061763,274.106827761692,1.69019972453641,0.857083641204162,1.67256560519811,1.77243686985937,1.73731294134299,0.861321343207623
