origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
1,2001,178.028495867458,179.903860851551,2.09317241194051,2.06561628537836,1.99541290934409,1.99109256804992
2,2001,178.715175582719,180.485008633169,1.99556575813257,1.97790547003345,1.92686465449474,1.92794506401328
3,2001,183.379685797479,185.047874356553,2.03460542280524,2.02186321405041,1.94528892395541,1.93960151276389
4,2001,187.294524467741,191.035144833563,2.09360245758621,2.08145327343827,2.02028727035199,2.00824403076238
1,2002,194.015923843346,195.923517816985,2.06921403999612,2.05186051670089,1.96130282760227,1.96250604991307
2,2002,199.313255744246,201.136994398967,2.10383004930329,2.08514263545611,1.99830772265503,1.99287569646368
3,2002,202.025858359942,203.587037522755,2.07608725311194,2.05961189308844,1.97972913853887,1.97774064085937
4,2002,203.555239579771,206.863743762436,2.06095733539528,2.04238471232649,2.0036131212005,1.99245763665221
1,2003,209.206722247406,211.19871671143,1.98377621674667,1.96194277506435,1.96872438019451,1.97662185557825
2,2003,212.983681203202,214.795406924358,1.96027212437927,1.94051977523687,1.998714879192,1.99674013719657
3,2003,219.597698712824,221.130269424422,1.9990604160516,1.98337507027437,2.07901148521991,2.07464939891076
4,2003,222.790463690274,226.467383109032,2.06094683116857,2.0412917065279,2.10327195382136,2.10060680582019
1,2004,231.171704570253,233.145961127533,2.05454101258913,2.03496611082208,2.10605645437435,2.11158422081123
2,2004,234.997627621838,236.766831467294,2.02560332013977,2.0088723217181,2.13127029441424,2.13125557257745
3,2004,238.293503838187,239.832087146458,2.02010155049572,2.00292388104968,2.11799908057266,2.11954096864038
4,2004,239.684397769539,243.09747946609,2.0386967912524,2.01788776973528,2.11320181550325,2.10097016770918
1,2005,247.09938108082,249.013857897801,2.00395437578585,1.98291225217187,2.10935126351659,2.11313972677586
2,2005,250.638939115716,252.373093756394,1.97499620476243,1.95987324695662,2.12590850418479,2.12265102231044
3,2005,245.976155486627,247.40057242037,1.77496224449308,1.76638460581109,2.04466390619019,2.0380944146717
4,2005,245.932033318997,249.350566619463,1.75057260917178,1.73596306257678,2.03641978154759,2.0326090108147
