forecaster_id,origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
96,1,2001,89.1683429710247,91.048088990095,1.99093679637334,1.96547602608554
96,2,2001,90.4764746950443,92.2754314865436,1.96986698139289,1.9458313121477
96,3,2001,93.2862689065901,95.1193987565421,2.03444875546109,2.01756327686549
96,4,2001,96.035964227475,97.6419135254934,2.10427309870037,2.08222202634793
96,1,2002,99.5488756992949,101.477781817836,2.08557036985071,2.06149611369221
96,2,2002,102.011548022166,103.922521582147,2.11946196978727,2.09778808506651
96,3,2002,103.19002219442,105.09722285678,2.09960434426522,2.08568919690891
96,4,2002,103.90133473335,105.462767349194,2.06782611586244,2.04682596519762
96,1,2003,106.246766405041,108.181489395612,2.00039770995115,1.98126352072366
96,2,2003,107.285371037836,109.173005251339,1.97127844980499,1.95479270932428
96,3,2003,109.243306216028,110.929016169165,1.98933995545959,1.97048620705665
96,4,2003,111.862284508534,113.377282778517,2.04178609039881,2.02133940301664
97,1,2004,116.230765558924,118.167481440624,2.06275621934419,2.04341605958971
97,2,2004,117.434443492159,119.283538728367,2.04043763768745,2.02184029357519
99,3,2004,119.016989266946,120.83260893202,2.04153338307412,2.02761106325799
99,4,2004,120.214394927628,121.760478742447,2.03491059610767,2.0173179263129
99,1,2005,123.450335580478,125.344519901548,2.01173911473705,1.99360900821838
99,2,2005,124.445145047885,126.240497343629,1.98490208138185,1.96717875850525
98,3,2005,120.233944023616,121.922996858242,1.79158591302393,1.7803483422477
99,4,2005,123.141573381018,124.555785750568,1.84480743925128,1.82888927184049
100,1,2006,123.25835172195,124.997254859013,1.73260310206098,1.71787073968694
100,2,2006,125.718986850948,127.501984842,1.75853585718756,1.74703832851602
100,3,2006,125.579583475084,127.13611399527,1.71382231019132,1.7013166312592
100,4,2006,126.472321419521,127.983812422439,1.70536024825049,1.69639555063861
100,1,2007,129.70693664234,131.424885265225,1.69321711959882,1.67978452006625
100,2,2007,131.306039696103,132.996789222471,1.69423874852935,1.6824028898002
100,3,2007,132.070358986115,133.549057098282,1.67831534376837,1.66536065466012
99,4,2007,133.05010144774,134.377966922534,1.67331204392206,1.660897350354
102,1,2008,135.456230657054,135.456230657054,1.69364141455764,1.69364141455764
108,2,2008,137.880825127379,139.56702030485,1.66391874347557,1.65330633549947
108,3,2008,143.571949410876,145.976675498603,1.77358423115245,1.78302675892156
108,4,2008,142.004389645376,144.185983910887,1.70314684982402,1.71152683648748
108,1,2009,145.379362537633,147.795610985486,1.69582846301779,1.70049001627899
108,2,2009,151.683795727652,153.705629037869,1.81295168425036,1.80829624282032
108,3,2009,159.541126430833,161.21723007635,1.98203890436357,1.9692537963084
108,4,2009,165.249175193972,166.918003685344,2.10427743374148,2.09350951433022
108,1,2010,169.662277978316,171.606579773591,2.11926572823743,2.10518793094042
109,2,2010,170.844656155559,172.706478244563,2.10229092815758,2.08868975438483
109,3,2010,172.498038113188,174.3312098733,2.10419611983157,2.09396467343647
110,4,2010,173.640925365877,175.228808004115,2.09717379248595,2.08490970704685
110,1,2011,176.693969575082,178.628595336217,2.07494950466331,2.06216093590015
110,2,2011,177.925513841887,179.757693155321,2.0610014020174,2.04808190258494
112,3,2011,179.936165860991,181.720932563491,2.07252230349769,2.06209370915379
113,4,2011,182.094550267453,183.681362550747,2.09241535565617,2.08081049643664
112,1,2012,185.495297900357,187.439073893626,2.08016425808047,2.06812506483444
112,2,2012,187.822604716996,189.678955424052,2.09425711237638,2.08195379541422
112,3,2012,188.793483533001,190.488197272396,2.07910890876285,2.06687237460747
112,4,2012,189.21792254755,190.74454962221,2.05567589552231,2.04379606844499
113,1,2013,192.582520438522,194.513177067737,2.04376188841626,2.03258157144624
112,2,2013,194.702969828805,196.53545553379,2.0524999690955,2.04090314125687
113,3,2013,195.944240744917,197.622673979636,2.04506775774884,2.03357628926143
113,4,2013,199.469724830623,201.790459039166,2.09516038878575,2.10156774831067
