 ,"Employment: by employment status, by economic activity",,,,,,,,,,"GDP deflators: by expenditure components",,,,,,,"Unit labour cost: by economic activity",,,,,,,"Hourly labour cost: by components and by economic activity",,,,,,,"Exchange rates: effective exchange rates","US and Japan: main economic and financial indicators",,,,,,,,,,,,,,,,,,,,,,,"Industry and commodity prices: by type of goods and by industry","GDP: by expenditure components at current prices",,,,,,,"GDP: by expenditure components at constant prices",,,,,,,"Value added: by economic activity at current prices",,,,,,,,,"Value added: by economic activity, chain-linked volumes",,,,,,,,,"Confidence indicators: economic, manufacturing, consumer, construction, retail trade, services","Value added: by economic activity at current prices (NACE Rev2)",,,,,,"Value added: by economic activity, chain-linked volumes (NACE Rev2)",,,,,,"Employment: by economic activity (NACE Rev2)",,,,,,"Unit labour cost: by economic activity (NACE Rev2)",,,,,,
Name:,MNA.Q.Y.I7.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.SAL._Z._T._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.SELF._Z._T._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.A._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.BTE._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.F._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.GTI._Z.PS._Z.N,ESA.Q.I7.N.1000.TOTEMP.0000.YJ_K.N.P.A,ESA.Q.I7.N.1000.TOTEMP.0000.YL_P.N.P.A,MNA.Q.Y.I7.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N,ESA.Q.I7.Y.1000.P30_50.0000.TTTT.D.U.I,ESA.Q.I7.Y.1415.P31000.0000.TTTT.D.U.I,ESA.Q.I7.Y.1300.P30000.0000.TTTT.D.U.I,ESA.Q.I7.Y.1000.P51000.0000.TTTT.D.U.I,MNA.Q.Y.I7.W1.S1.S1.D.P6._Z._Z._Z.IX.D.N,MNA.Q.Y.I7.W1.S1.S1.C.P7._Z._Z._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z._T._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.A._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.BTE._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.F._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.GTI._Z.IX.D.N,ESA.Q.I7.Y.1000.UNLACO.0000.YJ_K.D.U.I,ESA.Q.I7.Y.1000.UNLACO.0000.YL_P.D.U.I,STS.Q.I7.W.LCIT.2B_S00.4.000,STS.Q.I7.W.LCIT.2B_S00.4.000,STS.Q.I7.W.LCIW.2B_S00.4.000,STS.Q.I7.W.LCIO.2B_S00.4.000,STS.Q.I7.W.LCIT.NS0020.4.000,STS.Q.I7.W.LCIT.2F0000.4.000,STS.Q.I7.W.LCIT.2G_N00.4.000,EXR.Q.E1.EUR.ERU1.A,BISM.Q.VPNB.US.01,BISM.Q.RHGB.US.01,GFS.Q.N.US.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ._Z.S.V.N._T,GFS.Q.N.US.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,BISM.Q.RHGB.JP.01,MUFA.Q.US.N.B8G.G.X.US.1000.Z5.ZZZZ.M.R,MUFA.Q.US.N.P50.G.X.Z5.ZZZZ.US.1000.M.R,MUFA.Q.US.N.BIC.G.X.US.1000.A1.1000.M.R,MUFA.Q.US.N.P50.G.X.Z5.ZZZZ.US.11US.M.R,MUFA.Q.US.N.T00.G.X.A1.1000.US.11US.M.R,MUFA.Q.US.N.B8G.G.X.US.11US.Z5.ZZZZ.M.R,MUFA.Q.US.N.T00.G.X.US.11US.A1.1000.M.R,MUFA.Q.US.N.P5C.G.X.Z5.ZZZZ.US.1415.M.R,MUFA.Q.US.N.T00.G.X.A1.1000.US.1415.M.R,MUFA.Q.US.N.B8C.G.X.US.1415.Z5.ZZZZ.M.R,MUFA.Q.US.N.T00.G.X.US.1415.A1.1000.M.R,MUFA.Q.JP.N.B8G.G.X.JP.1000.Z5.ZZZZ.M.J,MUFA.Q.JP.N.P50.G.X.Z5.ZZZZ.JP.1000.M.J,MUFA.Q.JP.N.BIC.G.X.JP.1000.A1.1000.M.J,MUFA.Q.JP.N.T00.G.X.A1.1000.JP.1100.M.J,MUFA.Q.JP.N.T00.G.X.JP.1100.A1.1000.M.J,MUFA.Q.JP.N.T00.G.X.A1.1000.JP.1415.M.J,MUFA.Q.JP.N.T00.G.X.JP.1415.A1.1000.M.J,STS.Q.I7.N.CINP.CC1109.4.000,MNA.Q.Y.I7.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N,MNA.Q.Y.I7.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,MNA.Q.Y.I7.W0.S13.S1.D.P3._Z._Z._T.EUR.V.N,MNA.Q.Y.I7.W0.S1.S1.D.P51G.N11G._T._Z.EUR.V.N,MNA.Q.Y.I7.W0.S1.S1.D.P5M.N1MG._T._Z.EUR.V.N,MNA.Q.Y.I7.W1.S1.S1.D.P6._Z._Z._Z.EUR.V.N,MNA.Q.Y.I7.W1.S1.S1.C.P7._Z._Z._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,MNA.Q.Y.I7.W0.S1M.S1.D.P31._Z._Z._T.EUR.LR.N,MNA.Q.Y.I7.W0.S13.S1.D.P3._Z._Z._T.EUR.LR.N,MNA.Q.Y.I7.W0.S1.S1.D.P51G.N11G._T._Z.EUR.LR.N,ESA.Q.I7.Y.1000.P52_53.0000.TTTT.L.U.A,MNA.Q.Y.I7.W1.S1.S1.D.P6._Z._Z._Z.EUR.LR.N,MNA.Q.Y.I7.W1.S1.S1.C.P7._Z._Z._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z._T._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.A._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.BTE._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.F._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.GTI._Z.EUR.V.N,ESA.Q.I7.Y.0000.B1G000.1000.YJ_K.V.U.A,ESA.Q.I7.Y.0000.B1G000.1000.YL_P.V.U.A,ESA.Q.I7.Y.0000.P11900.1000.TTTT.V.U.A,MNA.Q.Y.I7.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z._T._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.A._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.BTE._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.F._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.GTI._Z.EUR.LR.N,ESA.Q.I7.Y.0000.B1G000.1000.YJ_K.L.U.A,ESA.Q.I7.Y.0000.B1G000.1000.YL_P.L.U.A,ESA.Q.I7.Y.0000.P11900.1000.TTTT.L.U.A,MNA.Q.Y.I7.W2.S1.S1.C.D21X31._Z._Z._Z.EUR.LR.N,SUR.Q.I7.S.ECFIN.MAN013.TT,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.J._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.K._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.L._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.M_N._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.OTQ._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.RTU._Z.EUR.V.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.J._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.K._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.L._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.M_N._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.OTQ._Z.EUR.LR.N,MNA.Q.Y.I7.W2.S1.S1.B.B1G._Z.RTU._Z.EUR.LR.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.J._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.K._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.L._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.M_N._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.OTQ._Z.PS._Z.N,MNA.Q.N.I7.W2.S1.S1._Z.EMP._Z.RTU._Z.PS._Z.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.J._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.K._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.L._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.M_N._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.OTQ._Z.IX.D.N,MNA.Q.Y.I7.W2.S1.S1._Z.ULC_PS._Z.RTU._Z.IX.D.N
Description:,"Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Working day and seasonally adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Employees - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Self employed - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted",NA,NA,"Gross domestic product at market prices - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted",NA,NA,NA,NA,"Exports of goods and services - Euro area 18 (fixed composition) - Rest of the World, Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Imports of goods and services - Euro area 18 (fixed composition) - Rest of the World, Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted",NA,NA,"Euro area 18 (fixed composition) - Hourly Labour cost index - total, Whole economy excluding agriculture, forestry and fishing - NACE Rev2; Eurostat; Working day adjusted, not seasonally adjusted ","Euro area 18 (fixed composition) - Hourly Labour cost index - total, Whole economy excluding agriculture, forestry and fishing - NACE Rev2; Eurostat; Working day adjusted, not seasonally adjusted ","Euro area 18 (fixed composition) - Hourly Labour cost index - wages and salaries, Whole economy excluding agriculture, forestry and fishing - NACE Rev2; Eurostat; Working day adjusted, not seasonally adjusted ","Euro area 18 (fixed composition) - Hourly Labour cost index - costs other than wages and salaries, Whole economy excluding agriculture, forestry and fishing - NACE Rev2; Eurostat; Working day adjusted, not seasonally adjusted ","Euro area 18 (fixed composition) - Hourly Labour cost index - total, Total Industry (excluding construction) - NACE Rev2; Eurostat; Working day adjusted, not seasonally adjusted ","Euro area 18 (fixed composition) - Hourly Labour cost index - total, CONSTRUCTION - NACE Rev2; Eurostat; Working day adjusted, not seasonally adjusted ","Euro area 18 (fixed composition) - Hourly Labour cost index - total, Market services - NACE rev2 sections G to N; Eurostat; Working day adjusted, not seasonally adjusted ","ECB Real effective exch. rate ULC total economy deflated, Euro area-18 countries vis-a-vis the EER-20 group of trading partners (AU, CA, DK, HK, JP, NO, SG, KR, SE, CH, GB, US, BG, CZ, LT, HU, PL, RO, HR and CN) against Euro","United States - UNIT LABOUR COSTS IN MANUFACTURING, SA","United States - GDP, AT MARKET PRICES - CHAINED 2009 USD SAAR","United States - Net lending (pos) / net borrowing (neg)  - Balance (Credits minus Debits) - counterpart area:  World (all entities, including reference area, including IO), counterpart sector: Total economy, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to gros","United States - Closing balance sheet/Positions/Stocks  - Maastricht debt - Liabilities (Net Incurrence of) - maturity: All original maturities - counterpart area:  World (all entities, including reference area, including IO), counterpart sector: Total economy - Consolidated, Current prices - Domestic currency (incl. c","Japan - GDP, AT MARKET PRICES (SNA 93) - CH. 2005 JPY SAAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euro area 18 (fixed composition) - Construction input prices, All Residential Buildings excluding residences for communities; Eurostat; Neither seasonally nor working day adjusted ","Gross domestic product at market prices - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Individual consumption expenditure - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Final consumption expenditure - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), General government, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Gross fixed capital formation - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), Total economy, Fixed assets by type of asset (gross), Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Changes in inventories and acquisition less disposals of valuables - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), Total economy, Inventories by type of inventory and valuables (gross), Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Exports of goods and services - Euro area 18 (fixed composition) - Rest of the World, Total economy, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Imports of goods and services - Euro area 18 (fixed composition) - Rest of the World, Total economy, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Gross domestic product at market prices - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Individual consumption expenditure - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Final consumption expenditure - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), General government, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Gross fixed capital formation - Euro area 18 (fixed composition) - World (all entities, including reference area, including IO), Total economy, Fixed assets by type of asset (gross), Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted",NA,"Exports of goods and services - Euro area 18 (fixed composition) - Rest of the World, Total economy, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Imports of goods and services - Euro area 18 (fixed composition) - Rest of the World, Total economy, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted",NA,NA,NA,"Gross domestic product at market prices - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted",NA,NA,NA,"Taxes less subsidies on products - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Euro area 18 (fixed composition), EU Commission, DG-ECFIN, Industry survey - current level of capacity utilisation, Total, Seasonally adjusted, not working day adjusted - Percentages","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Current prices, Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Value added, gross - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Euro, Chain linked volume (rebased), Non transformed data, Working day and seasonally adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Total employment - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Not applicable, Persons, Not applicable, Non transformed data, Neither seasonally nor working day adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted","Unit Labour Cost (based on persons) - Euro area 18 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Working day and seasonally adjusted"
comments:,"Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Discontinued in January 2012 due to change to NACE Rev2","Discontinued in January 2012 due to change to NACE Rev2","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Discontinued, not valid anymore from Nov. 2014 onwards in comparison with ESA2010 data","Discontinued, not valid anymore from Nov. 2014 onwards in comparison with ESA2010 data","Discontinued, not valid anymore from Nov. 2014 onwards in comparison with ESA2010 data","Discontinued, not valid anymore from Nov. 2014 onwards in comparison with ESA2010 data","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Discontinued in January 2012 due to change to NACE Rev2","Discontinued in January 2012 due to change to NACE Rev2","","","","","","Follows NACE Rev2 methodology as of April 2011","Follows NACE Rev2 methodology as of April 2011","","","","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","","","","","","","","","","","","","","","","","","","","Follows NACE Rev2 methodology as of April 2011","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Discontinued","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Discontinued in January 2012 due to change to NACE Rev2","Discontinued in January 2012 due to change to NACE Rev2","Discontinued","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Discontinued in January 2012 due to change to NACE Rev2","Discontinued in January 2012 due to change to NACE Rev2","Discontinued","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014","Follows the new standard on the European System of Accounts ESA 2010 as of November 2014"





