origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,forecaster_id
1,2001,90.5115044289082,92.3700686109845,1.98822318042858,1.96341565793223,1
2,2001,91.771128908542,93.533400034334,1.9636926916454,1.94102425957695,1
3,2001,94.8302581814572,96.5392888898078,2.03406189978095,2.01199111719632,1
4,2001,97.543716937052,99.0984302653876,2.10874383615737,2.08413541528504,1
1,2002,101.060568498483,102.973937537462,2.08503697466669,2.06150885397029,1
2,2002,103.627745598541,105.463684438681,2.12060291937573,2.09762920874559,1
4,2002,105.417281205847,106.94357464558,2.06780603287579,2.04534473273656,1
1,2003,108.258373522184,110.187477996308,2.02184274175253,2.00273566423228,1
4,2003,112.323040637553,113.814235988929,1.9998298273299,1.97981996219384,1
1,2004,117.412399360749,119.315306137387,2.05305965379257,2.03406828862907,1
2,2004,118.822336840606,120.609473051988,2.03868429776978,2.02022404245873,1
4,2004,120.942989090934,122.439582307483,2.01001905292471,1.99138223900773,1
2,2005,125.867107894755,127.637844694464,1.98318246629225,1.96675237479669,1
3,2005,121.63584791177,123.17672202534,1.79008454149634,1.77439097528629,1
1,2006,125.626877761833,127.819688047218,1.73868673592772,1.73031337519892,1
2,2006,126.773874734997,128.46428135996,1.74600175909257,1.73391340049907,1
4,2006,126.952730083987,128.427986677354,1.67719192206825,1.66837806520233,1
1,2007,130.94607596897,132.647344647441,1.69140402927385,1.67829547831828,1
2,2007,132.410067836824,134.045036087248,1.68749028743023,1.67614850801058,1
4,2007,134.474866653569,135.864217579035,1.6780097079708,1.66678309024823,1
1,2008,138.212411493272,139.930856355762,1.67756647340024,1.66631497521445,1
2,2008,139.963926436549,141.582806156875,1.68338586483649,1.67208340910923,1
4,2008,144.559541969004,146.167962929896,1.71808679266521,1.70951798480978,1
1,2009,146.819024130955,149.536942246483,1.69825215382172,1.71157130812309,1
2,2009,153.148356163175,155.379200770317,1.80564424024328,1.80798644908383,1
3,2009,165.458439308901,167.199297242433,2.02264046414812,2.00951436394781,1
4,2009,168.995302792508,171.245055866147,2.11960321068146,2.11908495344397,1
1,2010,170.977393825738,172.937328836125,2.1051968303096,2.0922519986508,1
2,2010,173.425029763881,175.285932486701,2.12043540915125,2.10718728600563,1
4,2010,175.932637371165,177.635878957369,2.10297009927357,2.09109404322573,1
1,2012,187.893622111315,190.325547361091,2.07872871416053,2.07190990173725,1
2,2012,190.324773479135,192.66482148998,2.08509528608371,2.079915160788,1
2,2013,197.346097019166,199.713285949669,2.04766865559115,2.04464955783588,1
4,2013,202.704814511496,204.930452940391,2.08811016117483,2.08144359489395,1
1,2014,203.81947078697,206.221957947489,2.04973025884005,2.04388227600974,1
2,2014,205.388683693101,207.685608780929,2.03980345330233,2.03440351431594,1
4,2014,208.601249069239,210.834184799542,2.02754267298436,2.02199969014964,1
1,2015,212.82995933704,215.568482032954,2.04566470629695,2.0413936280313,1
2,2015,215.252994166823,217.658794562764,2.06432656967709,2.05956918207331,1
4,2015,217.340774242627,219.645386340606,2.02663020197312,2.02162677357906,1
1,2016,218.984369261959,221.455268644451,2.00709708862422,2.00193165310795,1
3,2016,221.980886207984,224.374256096917,1.9921431799332,1.98648827051018,1
4,2016,224.998934293292,227.282354588582,2.01064187759869,2.00577716108288,1
1,2017,226.775340581956,229.232141211996,1.99455536515475,1.98954684158203,1
2,2017,228.770315085005,231.135862245898,1.99355987046432,1.98927187071284,1
3,2017,229.700512421111,232.0819524875,1.97881148046725,1.97338734238688,1
4,2017,231.529304466165,233.81056159002,1.97351992494915,1.96920371028678,1
1,2018,232.915901058366,235.357655167177,1.95206454726496,1.94740068826523,1
