rgdp,target_year,target_quarter,origin_year,origin_month,origin_day
1694018.8,1995,1,2014,10,17
1703432.3,1995,2,2014,10,17
1709536.1,1995,3,2014,10,17
1716513.6,1995,4,2014,10,17
1716680.4,1996,1,2014,10,17
1729689.5,1996,2,2014,10,17
1740013.6,1996,3,2014,10,17
1745914.6,1996,4,2014,10,17
1752416.2,1997,1,2014,10,17
1773336.6,1997,2,2014,10,17
1785938,1997,3,2014,10,17
1805429.3,1997,4,2014,10,17
1815671.2,1998,1,2014,10,17
1825451.1,1998,2,2014,10,17
1835027.4,1998,3,2014,10,17
1840542.9,1998,4,2014,10,17
1855539.6,1999,1,2014,10,17
1868558,1999,2,2014,10,17
1889036.6,1999,3,2014,10,17
1911720.4,1999,4,2014,10,17
1934789.6,2000,1,2014,10,17
1952732.3,2000,2,2014,10,17
1961692.3,2000,3,2014,10,17
1976336.4,2000,4,2014,10,17
1994510.4,2001,1,2014,10,17
1996102.2,2001,2,2014,10,17
1997576.8,2001,3,2014,10,17
2000395.3,2001,4,2014,10,17
2003931.4,2002,1,2014,10,17
2014407.2,2002,2,2014,10,17
2021563.5,2002,3,2014,10,17
2023279.9,2002,4,2014,10,17
2018800.7,2003,1,2014,10,17
2020416.9,2003,2,2014,10,17
2030778.3,2003,3,2014,10,17
2046233.5,2003,4,2014,10,17
2055970.1,2004,1,2014,10,17
2067418.1,2004,2,2014,10,17
2074515.8,2004,3,2014,10,17
2082026.9,2004,4,2014,10,17
2084306.6,2005,1,2014,10,17
2098965.4,2005,2,2014,10,17
2114126.7,2005,3,2014,10,17
2127454.9,2005,4,2014,10,17
2145276.8,2006,1,2014,10,17
2170643.4,2006,2,2014,10,17
2184037.5,2006,3,2014,10,17
2207763.4,2006,4,2014,10,17
2225018.7,2007,1,2014,10,17
2237754.3,2007,2,2014,10,17
2249000.7,2007,3,2014,10,17
2259362.7,2007,4,2014,10,17
2274464.4,2008,1,2014,10,17
2265552.2,2008,2,2014,10,17
2252442.3,2008,3,2014,10,17
2211597.2,2008,4,2014,10,17
2149129.5,2009,1,2014,10,17
2143129.7,2009,2,2014,10,17
2149797.7,2009,3,2014,10,17
2159526.9,2009,4,2014,10,17
2169997,2010,1,2014,10,17
2191873.1,2010,2,2014,10,17
2198792.6,2010,3,2014,10,17
2210164.7,2010,4,2014,10,17
2230477,2011,1,2014,10,17
2230969,2011,2,2014,10,17
2230908.4,2011,3,2014,10,17
2224721.2,2011,4,2014,10,17
2222267.1,2012,1,2014,10,17
2216692.3,2012,2,2014,10,17
2214478.1,2012,3,2014,10,17
2204111.6,2012,4,2014,10,17
2196719.8,2013,1,2014,10,17
2203848,2013,2,2014,10,17
2207054.8,2013,3,2014,10,17
2212594.7,2013,4,2014,10,17
2219096.7,2014,1,2014,10,17
2220796.5,2014,2,2014,10,17
1694018.8,1995,1,2014,11,14
1703432.3,1995,2,2014,11,14
1709536.1,1995,3,2014,11,14
1716513.6,1995,4,2014,11,14
1716680.4,1996,1,2014,11,14
1729689.5,1996,2,2014,11,14
1740013.6,1996,3,2014,11,14
1745914.6,1996,4,2014,11,14
1752416.2,1997,1,2014,11,14
1773336.6,1997,2,2014,11,14
1785938,1997,3,2014,11,14
1805429.3,1997,4,2014,11,14
1815671.2,1998,1,2014,11,14
1825451.1,1998,2,2014,11,14
1835027.4,1998,3,2014,11,14
1840542.9,1998,4,2014,11,14
1855539.6,1999,1,2014,11,14
1868558,1999,2,2014,11,14
1889036.6,1999,3,2014,11,14
1911720.4,1999,4,2014,11,14
1934789.6,2000,1,2014,11,14
1952732.3,2000,2,2014,11,14
1961692.3,2000,3,2014,11,14
1976336.4,2000,4,2014,11,14
1994510.4,2001,1,2014,11,14
1996102.2,2001,2,2014,11,14
1997576.8,2001,3,2014,11,14
2000395.3,2001,4,2014,11,14
2003931.4,2002,1,2014,11,14
2014407.2,2002,2,2014,11,14
2021563.5,2002,3,2014,11,14
2023279.9,2002,4,2014,11,14
2018800.7,2003,1,2014,11,14
2020416.9,2003,2,2014,11,14
2030778.3,2003,3,2014,11,14
2046233.5,2003,4,2014,11,14
2055970.1,2004,1,2014,11,14
2067418.1,2004,2,2014,11,14
2074515.8,2004,3,2014,11,14
2082026.9,2004,4,2014,11,14
2084306.6,2005,1,2014,11,14
2098965.4,2005,2,2014,11,14
2114126.7,2005,3,2014,11,14
2127454.9,2005,4,2014,11,14
2145276.8,2006,1,2014,11,14
2170643.4,2006,2,2014,11,14
2184037.5,2006,3,2014,11,14
2207763.4,2006,4,2014,11,14
2225018.7,2007,1,2014,11,14
2237754.3,2007,2,2014,11,14
2249000.7,2007,3,2014,11,14
2259362.7,2007,4,2014,11,14
2274464.4,2008,1,2014,11,14
2265552.2,2008,2,2014,11,14
2252442.3,2008,3,2014,11,14
2211597.2,2008,4,2014,11,14
2149129.5,2009,1,2014,11,14
2143129.7,2009,2,2014,11,14
2149797.7,2009,3,2014,11,14
2159526.9,2009,4,2014,11,14
2169997,2010,1,2014,11,14
2191873.1,2010,2,2014,11,14
2198792.6,2010,3,2014,11,14
2210164.7,2010,4,2014,11,14
2230477,2011,1,2014,11,14
