target_year,forecast_year,forecast_quarter,ens_fc
1999,1999,1,2.03043477182876
2000,1999,1,2.38540677316366
1999,1999,2,1.93584101737991
2000,1999,2,2.41928493840604
1999,1999,3,1.92101612468705
2000,1999,3,2.56209161486052
1999,1999,4,1.97308931421535
2000,1999,4,2.74666129046242
2000,2000,1,3.01433026959528
2001,2000,1,2.89699828408402
2000,2000,2,3.27472025681202
2001,2000,2,3.04350536938159
2000,2000,3,3.43944392184368
2001,2000,3,3.17526178199075
2000,2000,4,3.40110137482474
2001,2000,4,3.04161587216081
2001,2001,1,2.68840489940013
2002,2001,1,2.73143580395629
2001,2001,2,2.45925619991743
2002,2001,2,2.60927372527795
2001,2001,3,2.02129046858772
2002,2001,3,2.35138349769359
2001,2001,4,1.52249993451123
2002,2001,4,1.53192886534217
2002,2002,1,1.32531074395339
2003,2002,1,2.51742169232457
2002,2002,2,1.38234732857983
2003,2002,2,2.61676394086586
2002,2002,3,1.17451751722579
2003,2002,3,2.47661919245234
2002,2002,4,0.823321906833702
2003,2002,4,1.79071846573106
2003,2003,1,1.40394511088485
2004,2003,1,2.27639152069609
2003,2003,2,1.01866198613893
2004,2003,2,2.07309818963336
2003,2003,3,0.648520145198669
2004,2003,3,1.65552225743731
2003,2003,4,0.458620364677994
2004,2003,4,1.65951729530074
2004,2004,1,1.77630442530727
2005,2004,1,2.19846270816491
2004,2004,2,1.61142102676038
2005,2004,2,2.11121559287316
2004,2004,3,1.75934616042338
2005,2004,3,2.12367251496779
2004,2004,4,1.86955726642916
2005,2004,4,2.00890096947623
2005,2005,1,1.76733150137055
2006,2005,1,2.10895121292061
2005,2005,2,1.55088518907551
2006,2005,2,1.97796401220148
2005,2005,3,1.34745935215547
2006,2005,3,1.78551781866113
2005,2005,4,1.30264089894459
2006,2005,4,1.71602293663891
2006,2006,1,1.94068140561824
2007,2006,1,1.8886968614101
2006,2006,2,2.06106061618926
2007,2006,2,1.89427878673921
2006,2006,3,2.13092870656371
2007,2006,3,1.82913226730076
2006,2006,4,2.53485822210156
2007,2006,4,2.0117161457786
2007,2007,1,2.12343752653385
2008,2007,1,2.09394805318188
2007,2007,2,2.43618083059816
2008,2007,2,2.22744931965632
2007,2007,3,2.68370186112792
2008,2007,3,2.32181142258096
2007,2007,4,2.53328489367315
2008,2007,4,2.05980771371792
2008,2008,1,1.82176112044061
2009,2008,1,2.01642111108535
2008,2008,2,1.5776497202001
2009,2008,2,1.63200683666473
2008,2008,3,1.61633329731153
2009,2008,3,1.26140897879579
2008,2008,4,1.19078496597853
2009,2008,4,0.314378151652472
2009,2009,1,-1.72913068636829
2010,2009,1,0.613137455750672
2009,2009,2,-3.45401394759136
2010,2009,2,0.234051831028613
2009,2009,3,-4.58880788311999
2010,2009,3,0.303215672808844
2009,2009,4,-4.01679125856155
2010,2009,4,1.02993884585649
2010,2010,1,1.18458497511851
2011,2010,1,1.54416735249245
2010,2010,2,1.10040241829051
2011,2010,2,1.52218186279844
2010,2010,3,1.09622572273583
2011,2010,3,1.34308463038505
2010,2010,4,1.60426539769259
2011,2010,4,1.4764003199601
2011,2011,1,1.58571183904184
2012,2011,1,1.71341808557736
2011,2011,2,1.68618081971275
2012,2011,2,1.64879503034468
2011,2011,3,1.93052548493042
2012,2011,3,1.61364247813515
2011,2011,4,1.61645867677701
2012,2011,4,0.814217899775827
2012,2012,1,-0.0828847195626171
2013,2012,1,1.08160139946235
2012,2012,2,-0.225248680710413
2013,2012,2,0.962636771474682
2012,2012,3,-0.342576280853628
2013,2012,3,0.647137782036469
2012,2012,4,-0.451549751773327
2013,2012,4,0.298860721347159
2013,2013,1,-0.0434434155572117
2014,2013,1,1.05031602521075
2013,2013,2,-0.366161224812285
2014,2013,2,1.0113816546364
2013,2013,3,-0.611172009288499
2014,2013,3,0.887772427896989
2013,2013,4,-0.393747831275962
2014,2013,4,1.04254203614122
2014,2014,1,1.00977464502951
2015,2014,1,1.47178828333984
2014,2014,2,1.13066232627193
2015,2014,2,1.49154336541675
2014,2014,3,1.00178182350633
2015,2014,3,1.4572192427101
2014,2014,4,0.773282983429452
2015,2014,4,1.15128887583181
2015,2015,1,1.08329168000286
2016,2015,1,1.50426356116561
2015,2015,2,1.38025179602242
2016,2015,2,1.71450590237361
2015,2015,3,1.42874299606279
2016,2015,3,1.75520610343301
2015,2015,4,1.47807755767565
2016,2015,4,1.71428796285842
2016,2016,1,1.66106891813804
2017,2016,1,1.74913146233022
2016,2016,2,1.47912202982845
2017,2016,2,1.62728651722258
2016,2016,3,1.51878140417588
2017,2016,3,1.43219144577883
2016,2016,4,1.56598019201459
2017,2016,4,1.4233652415893
2017,2017,1,1.52736029606521
2018,2017,1,1.53030863468134
2017,2017,2,1.64519431006453
2018,2017,2,1.58391431955057
2017,2017,3,1.91921378851951
2018,2017,3,1.74734006343486
2017,2017,4,2.12956075901204
2018,2017,4,1.904499582885
