target_year,target_quarter,ip
1991,1,
1991,2,-1.08205590622182
1991,3,-0.683682771194185
1991,4,1.05553005966039
1992,1,1.04450499545869
1992,2,-1.48314606741574
1992,3,-2.46350364963503
1992,4,-1.59027128157155
1993,1,-1.71102661596961
1993,2,-1.11218568665375
1993,3,-0.0488997555012197
1993,4,0.880626223091968
1994,1,1.21241513094083
1994,2,2.39578342117873
1994,3,1.02948058025269
1994,4,2.36220472440945
1995,1,0.407239819004521
1995,2,0.450653447498867
1995,3,-0.134589502018835
1995,4,-0.269541778975745
1996,1,-0.135135135135147
1996,2,-0.225529995489387
1996,3,0.316455696202514
1996,4,0.450653447498886
1997,1,1.12157918349037
1997,2,2.04081632653061
1997,3,1.56521739130435
1997,4,1.54109589041096
1998,1,1.05396290050588
1998,2,0.625782227784731
1998,3,0.0829187396351528
1998,4,-0.704225352112654
1999,1,0.250312891113896
1999,2,0.624219725343321
1999,3,1.73697270471463
1999,4,1.62601626016261
2000,1,0.599999999999983
2000,2,2.30616302186879
2000,3,0.816167897396023
2000,4,1.19506553585198
2001,1,0.0380952380952522
2001,2,-0.952018278750963
2001,3,-0.499807766243757
2001,4,-1.54559505409582
2002,1,0.7849293563579
2002,2,0.778816199376953
2002,3,0.193199381762
2002,4,-0.192826841496358
2003,1,0.540958268933575
2003,2,-0.845503458877804
2003,3,0.387596899224801
2003,4,1.96911196911199
2004,1,0.34078000757287
2004,2,0.981132075471707
2004,3,0
2004,4,0
2005,1,0.485799701046326
2005,2,0.855336556340678
2005,3,0.47935103244835
2005,4,1.54128440366973
2006,1,0.903505601734726
2006,2,1.79083094555874
2006,3,0.527797325826882
2006,4,1.29506475323768
2007,1,1.45127850725638
2007,2,0.340599455040867
2007,3,1.05227427019688
2007,4,0.738998992274088
2008,1,0.933644548182732
2008,2,-1.15626032375288
2008,3,-2.33957219251338
2008,4,-6.46817248459957
2009,1,-9.40358580314672
2009,2,-1.13085621970923
2009,3,2.2875816993464
2009,4,1.39776357827478
2010,1,2.04805041354864
2010,2,3.04901582400617
2010,3,1.01123595505617
2010,4,2.00222469410457
2011,1,1.05416212286441
2011,2,-0.0719424460431614
2011,3,0.0359971202303642
2011,4,-0.683699172364152
2012,1,-0.57971014492755
2012,2,-0.291545189504357
2012,3,-0.146198830409348
2012,4,-1.9765739385066
2013,1,0.112023898431675
2013,2,0.969787392763902
2013,3,-0.0369412633912216
2013,4,0.628233555062819
2014,1,0.293793609988997
2014,2,0.585865983156335
2014,3,-0.509646887513638
2014,4,0.329308452250256
2015,1,1.67760758570388
2015,2,0.932568149210897
2015,3,0.390902629708608
2015,4,-0.24778761061947
2016,1,0.603264726756561
2016,2,0
2016,3,0.105820105820115
2016,4,1.16279069767441
2017,1,0.417972831765911
2017,2,1.28338536246967
2017,3,1.43835616438357
2017,4,1.82309250506416
2018,1,-1.29310344827587
2018,2,0.537453812562981
2018,3,-0.400935516204469
2018,4,-0.234820530023497
2019,1,0.336247478143909
2019,2,-0.167560321715808
2019,3,-0.637797918764679
2019,4,-0.709459459459477
2020,1,-2.9942157196325
2020,2,-15.4682567520169
2020,3,16.3485477178423
2020,4,4.885877318117
2021,1,1.46208772526349
2021,2,0.636729222520128
2021,3,-0.399600399600405
2021,4,1.06987629555332
2022,1,1.02547138604036
2022,2,0.687622789783893
2022,3,0.390243902439016
2022,4,-0.129575639779714
2023,1,0.162179695102178
2023,2,-0.777202072538857
2023,3,-2.5130548302872
2023,4,0.200870438567113
2024,1,-0.935516204477117
2024,2,-0.168634064080935
2024,3,-0.270270270270284
2024,4,0.237127371273714
2025,1,1.21662723893207
2025,2,-0.0333889816360582
