target_year,forecast_year,forecast_quarter,ens_fc
1999,1999,1,2.07825391825284
2000,1999,1,2.46926125903714
1999,1999,2,1.98026272961797
2000,1999,2,2.46926125903714
1999,1999,3,1.98026272961797
2000,1999,3,2.56677467485778
1999,1999,4,1.98026272961797
2000,1999,4,2.76151670329734
2000,2000,1,2.95588022415444
2001,2000,1,2.95588022415444
2000,2000,2,3.24671901375014
2001,2000,2,3.04807060775124
2000,2000,3,3.44014267173323
2001,2000,3,3.1498667059371
2000,2000,4,3.44014267173323
2001,2000,4,2.95588022415444
2001,2001,1,2.6934001240081
2002,2001,1,2.76151670329734
2001,2001,2,2.46926125903714
2002,2001,2,2.66419309464211
2001,2001,3,1.98026272961797
2002,2001,3,2.46926125903714
2001,2001,4,1.48886124937506
2002,2001,4,1.58733491562902
2002,2002,1,1.29162252665462
2003,2002,1,2.56677467485778
2002,2002,2,1.29162252665462
2003,2002,2,2.66419309464211
2002,2002,3,1.19285708652738
2003,2002,3,2.46926125903714
2002,2002,4,0.796816964917688
2003,2002,4,1.7839918128331
2003,2003,1,1.4395758831371
2004,2003,1,2.27394869694893
2003,2003,2,0.995033085316809
2004,2003,2,1.98026272961797
2003,2003,3,0.598207167754747
2004,2003,3,1.68571170664228
2003,2003,4,0.498754151103897
2004,2003,4,1.58733491562902
2004,2004,1,1.7839918128331
2005,2004,1,2.27394869694893
2004,2004,2,1.58733491562902
2005,2004,2,2.17614917815127
2004,2004,3,1.7839918128331
2005,2004,3,2.17614917815127
2004,2004,4,1.88217542405877
2005,2004,4,1.98026272961797
2005,2005,1,1.7839918128331
2006,2005,1,2.17201035715114
2005,2005,2,1.58733491562902
2006,2005,2,1.98026272961797
2005,2005,3,1.39029051689914
2006,2005,3,1.83308361844593
2005,2005,4,1.29162252665462
2006,2005,4,1.71028777005179
2006,2006,1,1.98026272961797
2007,2006,1,1.88217542405877
2006,2006,2,2.07825391825284
2007,2006,2,1.88217542405877
2006,2006,3,2.17614917815127
2007,2006,3,1.88217542405877
2006,2006,4,2.56677467485778
2007,2006,4,1.98026272961797
2007,2007,1,2.07825391825284
2008,2007,1,2.07825391825284
2007,2007,2,2.46926125903714
2008,2007,2,2.27394869694893
2007,2007,3,2.66419309464211
2008,2007,3,2.27394869694893
2007,2007,4,2.56677467485778
2008,2007,4,2.0570228406408
2008,2008,1,1.7839918128331
2009,2008,1,1.98026272961797
2008,2008,2,1.58733491562902
2009,2008,2,1.58733491562902
2008,2008,3,1.63652331113565
2009,2008,3,1.29162252665462
2008,2008,4,1.19285708652738
2009,2008,4,0.299550897979837
2009,2009,1,-1.81639706276712
2010,2009,1,0.598207167754747
2009,2009,2,-3.35567835288428
2010,2009,2,0.299550897979837
2009,2009,3,-4.60439385014069
2010,2009,3,0.299550897979837
2009,2009,4,-3.97808700118446
2010,2009,4,0.995033085316809
2010,2010,1,1.09399400383343
2011,2010,1,1.48886124937506
2010,2010,2,0.995033085316809
2011,2010,2,1.48886124937506
2010,2010,3,1.09399400383343
2011,2010,3,1.39029051689914
2010,2010,4,1.58733491562902
2011,2010,4,1.42361361305388
2011,2011,1,1.58733491562902
2012,2011,1,1.68571170664228
2011,2011,2,1.68571170664228
2012,2011,2,1.68571170664228
2011,2011,3,1.98026272961797
2012,2011,3,1.58733491562902
2011,2011,4,1.58733491562902
2012,2011,4,0.89597413714718
2012,2012,1,0
2013,2012,1,0.995033085316809
2012,2012,2,-0.300450902029872
2013,2012,2,0.995033085316809
2012,2012,3,-0.329258558950291
2013,2012,3,0.631326682637888
2012,2012,4,-0.501254182354429
2013,2012,4,0.299550897979837
2013,2013,1,-0.100050033358353
2014,2013,1,1.01965731013738
2013,2013,2,-0.400802139753882
2014,2013,2,0.995033085316809
2013,2013,3,-0.601807232556302
2014,2013,3,0.89597413714718
2013,2013,4,-0.400802139753882
2014,2013,4,0.995033085316809
2014,2014,1,0.995033085316809
2015,2014,1,1.48886124937506
2014,2014,2,1.09399400383343
2015,2014,2,1.48886124937506
2014,2014,3,0.995033085316809
2015,2014,3,1.48886124937506
2014,2014,4,0.796816964917688
2015,2014,4,1.19285708652738
2015,2015,1,1.09399400383343
2016,2015,1,1.48886124937506
2015,2015,2,1.39029051689914
2016,2015,2,1.68571170664228
2015,2015,3,1.4466812377159
2016,2015,3,1.7839918128331
2015,2015,4,1.48886124937506
2016,2015,4,1.68571170664228
2016,2016,1,1.68571170664228
2017,2016,1,1.7839918128331
2016,2016,2,1.48886124937506
2017,2016,2,1.61193818798834
2016,2016,3,1.48886124937506
2017,2016,3,1.48886124937506
2016,2016,4,1.58733491562902
2017,2016,4,1.47392806181927
2017,2017,1,1.48886124937506
2018,2017,1,1.58733491562902
2017,2017,2,1.63341955698764
2018,2017,2,1.58733491562902
2017,2017,3,1.88217542405877
2018,2017,3,1.7839918128331
2017,2017,4,2.17614917815127
2018,2017,4,1.88217542405877
2018,2018,1,2.17614917815127
2019,2018,1,1.88217542405877
2018,2018,2,2.37165266173161
2019,2018,2,1.98026272961797
2018,2018,3,2.17614917815127
2019,2018,3,1.88217542405877
2018,2018,4,1.98026272961797
2019,2018,4,1.7839918128331
2019,2019,1,1.48886124937506
2020,2019,1,1.48886124937506
2019,2019,2,1.19285708652738
2020,2019,2,1.39029051689914
2019,2019,3,1.19285708652738
2020,2019,3,1.29162252665462
2019,2019,4,1.09399400383343
2020,2019,4,0.995033085316809
2020,2020,1,1.08279927152761
2020,2020,2,-5.12932943875506
2021,2020,2,4.06609445859583
2020,2020,3,-8.66478067256722
2021,2020,3,5.72778500367705
2020,2020,4,-8.32941165944079
2021,2020,4,5.25924501191706
2021,2021,1,4.21011760186353
2022,2021,1,3.87397126351858
2021,2021,2,4.01817896328318
2022,2021,2,3.9339010762137
2021,2021,3,4.49733656427312
2022,2021,3,4.3059489460447
2021,2021,4,4.9742091894814
2022,2021,4,4.40168854167743
2022,2022,1,4.01817896328318
2023,2022,1,2.56677467485778
2022,2022,2,2.85874568519125
2023,2022,2,2.31914955375118
2022,2022,3,2.76151670329734
2023,2022,3,1.68571170664228
2022,2022,4,2.95588022415444
2023,2022,4,0.199800266267306
2023,2023,1,0.199800266267306
2024,2023,1,1.39029051689914
2023,2023,2,0.671083131623299
2024,2023,2,1.19285708652738
2023,2023,3,0.598207167754747
2024,2023,3,1.09399400383343
2023,2023,4,0.498754151103897
2024,2023,4,0.89597413714718
2024,2024,1,0.598207167754747
2025,2024,1,1.39029051689914
2024,2024,2,0.55347897533512
2025,2024,2,1.39029051689914
2024,2024,3,0.750261731276965
2025,2024,3,1.39029051689914
2024,2024,4,0.697561373642514
2025,2024,4,1.19289096003369
