origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,89.147810427738,91.0285402387973,1.98986111603365,1.96448812826739
2,2001,90.4219509223868,92.2284048523262,1.96710726897171,1.9435025721343
3,2001,93.2289856372362,95.0470535168152,2.0314739249526,2.01339856457478
4,2001,96.0557470965007,97.827791979202,2.10514093487698,2.09004523567697
1,2002,99.5701348801768,101.525398351698,2.08661420923456,2.06377499202055
2,2002,102.139269120119,104.03148835888,2.12555059719457,2.10263856735441
3,2002,103.173633483092,104.991042058185,2.09841118674786,2.07961595496745
4,2002,103.960934906349,105.559496595593,2.07039262811136,2.05048252963267
1,2003,106.763320686143,108.707163496283,2.02298734604881,2.00353196417826
2,2003,107.296099682095,109.177431332082,1.97172556442969,1.9549335066345
3,2003,109.273669496537,110.983282896769,1.99053071743598,1.97262155289819
4,2003,110.693870581951,112.418113998163,1.99327635943223,1.98210521526673
1,2004,116.037502952652,117.951006558914,2.05479650682983,2.03475812302224
2,2004,117.469053047029,119.298197352329,2.0418105297107,2.02239122359644
3,2004,118.975702194389,120.67917224872,2.03989772612811,2.02166350738949
4,2004,119.616192217152,121.192963179211,2.01197807896855,1.99567155509803
1,2005,124.326611805231,126.235170365879,2.04464682599941,2.02615131125415
2,2005,124.434320045583,126.247901775308,1.98446687137094,1.96734898650509
3,2005,120.263817099569,121.888606687674,1.79248735341785,1.77896783018414
4,2005,123.20385084297,124.705459752947,1.84655597386886,1.83281392803977
1,2006,123.572966989871,125.774869233054,1.73944643861392,1.73110791791144
2,2006,125.288399486837,127.016322564771,1.74571999879021,1.73284344519397
3,2006,125.587619430628,127.164824489656,1.71404738241742,1.70200611691276
4,2006,125.469466294746,127.226064395518,1.67745301264777,1.67429111192675
1,2007,129.666828538532,131.388690977798,1.69212197489054,1.67881549324912
2,2007,131.174182583399,132.883469585121,1.69063761597644,1.67926423839476
3,2007,132.083010002702,133.588575384119,1.67864043363096,1.66633547880576
4,2007,133.058141195538,134.46450178994,1.6732427548605,1.6623982983865
1,2008,136.940462568041,138.705985590375,1.67918220873312,1.66799841687777
2,2008,138.71160700977,140.366040908126,1.68467451877683,1.67283051294763
3,2008,143.084527780909,144.936417878631,1.76026202215237,1.75435859444668
4,2008,142.192229204152,143.708192044734,1.70709462484486,1.69839294418355
1,2009,145.418994823795,147.98721216397,1.69676522472519,1.70446326873033
2,2009,151.087045978602,153.666507654615,1.79741209332454,1.8069549651944
3,2009,160.448908852317,162.171819454695,1.99628494842385,1.98512610218187
4,2009,165.714685808428,167.4680324702,2.11687308524693,2.10730478501703
1,2010,169.173690052664,171.126915051629,2.10531686407929,2.09175264456722
2,2010,171.531325021213,173.410072232732,2.12159900685975,2.10806632685972
3,2010,172.157880145504,173.934010888917,2.09468718882253,2.08274641404405
4,2010,173.697637971681,175.400551582331,2.09540158256465,2.08549418284695
1,2011,176.765364923379,178.703734559736,2.07684908756982,2.06411353693973
2,2011,177.781379859872,179.641202299157,2.05722518757762,2.04503275916498
3,2011,180.073668994291,181.880445275416,2.07539275982537,2.06452836600801
4,2011,183.36813640329,185.634977981173,2.09210071007498,2.08432979204958
1,2012,185.600122317977,188.060776951337,2.07984751479198,2.07289349247934
2,2012,187.758505976466,190.246768044896,2.08613596670796,2.08051276562829
3,2012,190.03151880164,192.410448525754,2.09495649625352,2.08712185023828
4,2012,190.884850636817,193.165843175855,2.06517433146442,2.05826390406336
1,2013,192.886590453301,195.332598076739,2.04852025165848,2.04248827403239
2,2013,194.859543435082,197.38316377638,2.04790034148514,2.04486933761946
3,2013,198.040201961749,200.454352951304,2.08022763945504,2.07392416892839
4,2013,200.451083939782,202.693599196169,2.08917211948024,2.081818481397
1,2014,201.500172697163,203.911902454269,2.05008474972655,2.04410612829175
2,2014,203.016393370395,205.396610816824,2.0420674049892,2.03536656613394
3,2014,204.727882586422,207.067764858473,2.03754428761206,2.03060395410606
4,2014,206.34096720287,208.591016060298,2.02843997512775,2.02213317946813
1,2015,210.172569195379,212.922279463499,2.04642473131988,2.04194486810582
2,2015,212.617229553474,214.990299534758,2.06556750199077,2.05901957455124
3,2015,214.169545168294,216.495544195494,2.05777642307787,2.05075792873866
4,2015,214.758547148288,216.967455261972,2.02725927814768,2.02067042815518
1,2016,216.484402949794,218.85414807582,2.00661381534791,2.00096828281767
2,2016,218.544479747181,220.891826695178,2.01097056668796,2.00485182596433
3,2016,219.488745747723,221.791948765514,1.99181592808385,1.98553191707772
4,2016,222.44190398464,224.634391695343,2.01126090438012,2.0048888796719
1,2017,224.295390872698,226.64734980707,1.99406909937536,1.98859891893825
2,2017,226.328510473182,228.755908221659,1.99555923402296,1.99002478216931
3,2017,227.195946006139,229.483184398025,1.97842693108242,1.97228189097493
4,2017,228.952302345873,231.137903576877,1.97404699680015,1.96819998623129
1,2018,230.453109443191,232.789520974456,1.95162343943677,1.94654282294198
2,2018,231.818728852303,234.133011638298,1.94330544887224,1.93786468509215
3,2018,233.213965149122,235.476161207925,1.93517045917458,1.92930320902654
4,2018,235.914970258609,238.074983250838,1.94831949905746,1.9425981922446
1,2019,237.916095437316,240.23736199483,1.93567058048544,1.93079697012461
2,2019,239.479115179632,241.875546219355,1.92958590614571,1.92466829999781
3,2019,241.630240666821,243.888809597055,1.93701500805123,1.93131885105644
4,2019,247.600523276704,249.774842118902,2.00752746867092,2.00167545467969
1,2020,254.029953747391,256.385464297624,2.07330324472078,2.06811229561541
2,2020,258.558609159128,263.209879899648,2.08978861615832,2.08070447990106
3,2020,276.584527243051,288.098193960973,2.44047868659165,2.57325038731693
4,2020,329.156829566336,352.818133629087,3.43166774793084,4.28910196609042
1,2021,454.467757806594,459.378310171282,10.5221084214341,10.5692245605758
2,2021,465.282696900295,468.937829735459,11.2221762644348,11.1858220762079
3,2021,468.682502270512,472.293324188184,11.2339338545504,11.2025865067297
4,2021,472.943427754611,476.536886881663,11.3136946953976,11.2739612256364
1,2022,476.584729725839,480.245188061305,11.1676884475683,11.1267222436934
2,2022,480.152353191569,483.762694743798,11.1787465791466,11.140235344455
3,2022,484.63713682193,488.212586608259,11.2888193047865,11.2547887989016
4,2022,485.776133731791,489.335707609547,11.1027477787278,11.0694508203325
1,2023,487.662618244472,491.295623949338,10.7975306086198,10.7597338507091
2,2023,490.73650857505,494.313904974976,10.768548207151,10.7328783480085
3,2023,491.390520207255,494.912760355371,10.5536077940647,10.5232921509487
4,2023,493.296186852363,496.810954260483,10.4519611722144,10.4207095934934
1,2024,497.044063758531,500.630556231971,10.3254567715559,10.2903112075662
2,2024,500.32957956772,503.863718501774,10.3187449368555,10.2855528239039
3,2024,498.65454200929,502.131194848941,9.94505714030114,9.91762753959457
4,2024,500.68007248987,504.148375342703,9.86414004752619,9.83532410451464
