origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,91.4233822658934,93.363038834655,2.11266030140972,2.0856717879171
2,2001,91.4046690083364,93.2307578613953,2.01730930205432,1.9928400190508
3,2001,96.7219502141528,98.3718440670219,2.136459658674,2.11351560929648
4,2001,95.9909007733123,97.8878604074202,2.04581126798943,2.03498696232396
1,2002,99.5130725893866,101.481910798479,2.08378370985117,2.06168673659448
2,2002,103.298510274262,105.16012069756,2.10424998548899,2.08705228557865
3,2002,104.503437747769,106.319019902351,2.09333153298163,2.07822727607465
4,2002,104.231821089773,105.818585923386,2.03394904911944,2.01694845242773
1,2003,107.37354780005,109.176163976492,1.97495508253937,1.9549071481236
2,2003,109.508252150653,111.187986544838,2.00007073682317,1.98050406007934
3,2003,110.874635512811,112.466692746335,1.99988775039415,1.9836601091247
4,2003,113.568884584769,115.174192708626,2.0660064949427,2.04901463953403
1,2004,117.507938665432,119.343238099075,2.04335686626143,2.02411566269183
2,2004,119.026822847359,120.810235489772,2.04185919387765,2.02634806090235
3,2004,119.632669591499,121.248851910817,2.01254376092541,1.99728453061596
4,2004,122.074977472433,123.671632864052,2.05873580805605,2.04269583889573
1,2005,124.53210802206,126.374825460538,1.98796946283112,1.97172266934325
2,2005,120.208532667544,121.778702650285,1.79076707900381,1.77579926530388
3,2005,123.29865895668,124.823280047729,1.84928950841355,1.83569056960963
4,2005,123.166682330275,125.09022694678,1.74732270374979,1.73979456137525
1,2006,125.260233364017,126.965428807912,1.74489365921036,1.73140947185736
2,2006,125.58803551589,127.13175865827,1.71405897990363,1.70114262720064
3,2006,126.126983303275,127.568272213765,1.6937708676904,1.68167307805328
4,2006,127.282679567624,128.702643910111,1.70081576350185,1.68929092333471
1,2007,131.43273498043,133.303562887168,1.69753963310974,1.6900978794272
2,2007,132.128049638925,133.683772565302,1.67979144019496,1.66860398508473
3,2007,133.266227342553,134.710192545326,1.67799469500032,1.66719733623946
4,2007,134.653386531392,136.076557546478,1.68627109057803,1.67593330246033
1,2008,138.711447313835,140.359554487274,1.68467093665112,1.67268222639844
2,2008,143.139453868688,145.191499713745,1.7616488245885,1.76028380296208
3,2008,143.360664679736,144.934435711462,1.73043815211073,1.71889066496957
4,2008,143.290094988194,144.832538690597,1.70421808423682,1.69673368569317
1,2009,152.940250660771,154.687115200465,1.84384038131813,1.83155693654495
2,2009,165.777460211648,168.668241552809,2.14422204550369,2.14686193030666
3,2009,165.952055178753,168.308380323671,2.12232485081095,2.12024478358629
4,2009,166.940607066273,168.634875332185,2.11552252929637,2.10347134056574
1,2010,171.529886095253,173.408952231002,2.12155894111764,2.10803292328959
2,2010,172.121812740779,173.870226234936,2.09374216095251,2.08127296070693
3,2010,175.418292005017,177.567227839289,2.13328459763696,2.1206725545715
4,2010,174.632274769399,176.319273928176,2.08718043118847,2.07536085080024
1,2011,177.769180456617,179.62545565584,2.05691519496878,2.0446591310139
2,2011,180.351235376967,182.347355533877,2.08213920262839,2.07441024397802
3,2011,183.378801114267,185.673818008074,2.09210789834679,2.08486890064825
4,2011,185.250470535457,187.374258828482,2.08571679286318,2.07959786588865
1,2012,187.781385536678,190.259453296783,2.08631647852566,2.08070673926699
2,2012,190.030439596846,192.426685606571,2.0949540133164,2.08738712313696
3,2012,190.885678667365,193.191448066827,2.0651749330822,2.05867033454591
4,2012,192.553552844677,194.667058598244,2.0543249163107,2.04863247580969
1,2013,194.920994127065,197.424752467156,2.04836177264685,2.04520498202119
2,2013,198.059950032784,200.475537757293,2.08028947134547,2.07417639310867
3,2013,200.462792597514,202.706494784687,2.08918108131869,2.08186380942476
4,2013,201.131743448713,203.234422671714,2.05560813679017,2.05005342231721
1,2014,203.016258095907,205.398367277122,2.04206641484997,2.03536188363513
2,2014,204.732070620727,207.071622143962,2.03755653576534,2.03064000369703
3,2014,206.352145206645,208.626523005537,2.02844772393926,2.02255978137558
4,2014,210.156407637384,212.374453013137,2.06116363526307,2.05689145159554
1,2015,212.786220826696,215.258405677826,2.06664029941451,2.06044957593209
2,2015,214.388358243572,216.807750192045,2.05830959484565,2.05206802401267
3,2015,215.000791889659,217.31577841734,2.02739460499038,2.02196834253457
4,2015,216.354217890064,218.548252067003,2.01179101996909,2.00779440913679
1,2016,218.725170395042,221.174905881046,2.01202477210714,2.00632849125643
2,2016,219.704904205997,222.097445728223,1.99228918752149,1.98660918000827
3,2016,222.684146596813,224.980568755762,2.0113949406236,2.00611932332778
4,2016,224.17329040252,226.342221306103,1.99924059776529,1.9952785581166
1,2017,226.289473237931,228.724175306171,1.99459598121837,1.9890739552062
2,2017,227.43379969471,229.81890294045,1.97894243368756,1.97355362015037
3,2017,229.208530102192,231.501242889444,1.97417897464056,1.96939135546686
4,2017,230.334838289029,232.498459817761,1.95645300765817,1.95284801548368
1,2018,232.002306550331,234.419786063038,1.94427118787635,1.93918773788365
